	Oxy+	Oxy-
470	33.2092	16.1564
472	31.62	15.31
474	30.1136	15.0484
476	28.8508	14.7928
478	27.718	14.6572
480	26.6292	14.55
482	25.7016	14.8812
484	25.1804	15.2124
486	24.6696	15.5436
488	24.1748	15.898
490	23.6844	16.684
492	23.0868	17.4696
494	22.4576	18.2556
496	21.8504	19.0412
498	21.26	19.8912
500	20.9328	20.862
502	20.5964	21.8328
504	20.418	22.8036
506	19.946	23.7744
508	19.996	24.7452
510	20.0352	25.7736
512	20.1504	26.9368
514	20.4292	28.1
516	21.0016	29.2632
518	22.5096	30.4264
520	24.2024	31.5896
522	26.4504	32.8512
524	29.2692	34.3976
526	32.4964	35.944
528	35.99	37.49
530	39.9568	39.0364
532	43.876	40.584
534	46.924	42.088
536	49.752	43.592
538	51.712	45.092
540	53.236	46.592
542	53.292	48.148
544	52.096	49.708
546	49.868	51.268
548	46.66	52.496
550	43.016	53.412
552	39.6752	54.08
554	36.8152	54.52
556	34.4768	54.54
558	33.456	54.164
560	32.6132	53.788
562	32.62	52.276
564	33.9156	50.572
566	36.4952	48.828
568	40.172	46.948
570	44.496	45.072
572	49.172	43.34
574	53.308	41.716
576	55.54	40.092
578	54.728	38.4676
580	50.104	37.02
582	43.304	35.6764
584	34.6396	34.3328
586	26.6004	32.8516
588	19.7632	31.0752
590	14.4008	28.3244
592	10.4684	25.47
594	7.6788	22.5748
596	5.6836	19.8
598	4.5044	17.0584
600	3.2	14.6772
602	2.664	13.6224
604	2.128	12.5676
606	1.7892	11.5132
608	1.6476	10.4776
610	1.506	9.4436
612	1.3644	8.5912
614	1.2228	7.762
616	1.11	7.3448
618	1.026	6.9272
620	0.942	6.5096
622	0.858	6.1932
624	0.774	5.9068
626	0.7076	5.62
628	0.6588	5.3668
630	0.61	5.1488
632	0.5612	4.9308
634	0.5124	4.7308
636	0.4788	4.6024
638	0.4604	4.4736
640	0.442	4.3452
642	0.4236	4.2168
644	0.4052	4.0884
646	0.3904	3.9651
648	0.3792	3.8576
650	0.368	3.7501
652	0.3568	3.6426
654	0.3456	3.5352
656	0.3352	3.4277
658	0.3256	3.3202
660	0.3196	3.2266
662	0.314	3.1403
664	0.3084	3.054
666	0.3028	2.9677
668	0.298	2.8814
670	0.294	2.7951
672	0.29	2.7088
674	0.2856	2.6276
676	0.282	2.5544
678	0.2792	2.4812
680	0.2776	2.4079
682	0.276	2.3347
684	0.2744	2.2615
686	0.2728	2.1882
688	0.2744	2.115
690	0.276	2.052
692	0.2776	2.0005
694	0.2792	1.949
696	0.282	1.8976
698	0.286	1.8461
700	0.29	1.7943
702	0.294	1.741
704	0.298	1.6878
706	0.3028	1.6345
708	0.3084	1.5835
710	0.314	1.5405
712	0.3196	1.4974
714	0.3252	1.4544
716	0.332	1.4113
718	0.34	1.3683
720	0.348	1.3259
722	0.356	1.2852
724	0.364	1.2444
726	0.3724	1.2037
728	0.3812	1.1528
730	0.39	1.1022
732	0.3988	1.1022
734	0.4076	1.1022
736	0.4188	1.1018
738	0.4324	1.1005
740	0.446	1.1159
742	0.4596	1.1616
744	0.4732	1.2074
746	0.4876	1.266
748	0.5028	1.3332
750	0.518	1.4052
752	0.5332	1.5153
754	0.5484	1.5418
756	0.562	1.5605
758	0.574	1.5605
760	0.586	1.5485
762	0.598	1.5084
764	0.61	1.4596
766	0.6228	1.4105
768	0.6364	1.3613
770	0.65	1.3119
772	0.6636	1.2624
774	0.6772	1.213
776	0.6892	1.1636
778	0.6996	1.1148
780	0.71	1.0754
782	0.7204	1.0361
784	0.7308	0.9967
786	0.74	0.9574
788	0.748	0.9218
790	0.756	0.8908
792	0.764	0.8598
794	0.772	0.8288
796	0.7864	0.803
798	0.8072	0.7824
800	0.816	0.7617
802	0.828	0.7438
804	0.836	0.7371
806	0.844	0.7303
808	0.856	0.7235
810	0.864	0.7171
812	0.872	0.7118
814	0.88	0.7066
816	0.8872	0.7013
818	0.9016	0.6961
820	0.916	0.6938
822	0.9304	0.6936
824	0.9448	0.6935
826	0.9564	0.6933
828	0.9652	0.6932
830	0.974	0.693
832	0.9828	0.6929
834	0.9916	0.6928
836	1.0012	0.6926
838	1.0116	0.6925
840	1.022	0.6924
842	1.0324	0.6922
844	1.0428	0.692
846	1.05	0.6918
848	1.054	0.6915
850	1.058	0.6913
852	1.062	0.6911
854	1.066	0.6909
856	1.0728	0.6906
858	1.0824	0.6924
860	1.092	0.6943
862	1.1016	0.6962
864	1.1112	0.698
866	1.1184	0.6999
868	1.1232	0.7018
870	1.128	0.7058
872	1.1328	0.71
874	1.1376	0.7141
876	1.1428	0.7182
878	1.1484	0.7223
880	1.154	0.7264
882	1.1596	0.7298
884	1.1652	0.7332
886	1.17	0.7366
888	1.174	0.74
890	1.178	0.7436
892	1.182	0.7472
894	1.186	0.7509
896	1.19	0.7545
898	1.194	0.7582
900	1.198	0.7618
902	1.202	0.765
904	1.206	0.7674
906	1.2092	0.7698
908	1.2116	0.7722
910	1.214	0.7746
912	1.2164	0.7769
914	1.2188	0.7784
916	1.2208	0.778
918	1.2224	0.7777
920	1.224	0.7774
922	1.2256	0.777
924	1.2272	0.7766
926	1.2268	0.7724
928	1.2244	0.7681
930	1.222	0.7638
932	1.2196	0.7523
934	1.2172	0.7376
936	1.2156	0.7229
938	1.2148	0.7082
940	1.214	0.6934
942	1.2132	0.6787
944	1.2124	0.6605
946	1.2104	0.6411
948	1.2072	0.6216
950	1.204	0.6022
952	1.2008	0.5834
954	1.1976	0.5689
956	1.194	0.5545
958	1.19	0.54
960	1.186	0.5256
962	1.182	0.5111
964	1.178	0.4954
966	1.1732	0.4733
968	1.1676	0.4513
970	1.162	0.4293
972	1.1564	0.4153
974	1.1508	0.4023
976	1.144	0.3893
978	1.136	0.3749
980	1.128	0.3597
982	1.12	0.3444
984	1.112	0.3291
986	1.1024	0.3138
988	1.0912	0.2985
990	1.08	0.2832
992	1.0688	0.2679
994	1.0576	0.2526
996	1.0464	0.2374
998	1.0352	0.2221
1000	1.024	0.2068
